# ImgMame; BladName; HairName; Xh; Yh; Wh; Hh; Colorh;FaceForm;HairType;HairdoStyle;ShX;ShY;
imglib\ovklass.bmp;imglib\bladeov.bmp;hairdo\k071101.bmp;-6;-1;433;359;0;1;1,2,3,4,5;1;178;200;
imglib\ovroman.bmp;imglib\bladeov.bmp;hairdo\l073601.bmp;-6;17;458;522;0;1;1,3,4,5;2;178;200;
imglib\ovsport.bmp;imglib\bladeov.bmp;hairdo\k086001.bmp;86;-16;279;264;0;1;2,4;3;178;200;
imglib\ovmolod.bmp;imglib\bladeov.bmp;hairdo\m080401.bmp;41;-23;366;278;0;1;1,2,3,4,5;4;178;200;
imglib\ovvamp.bmp;imglib\bladeov.bmp;hairdo\k032401.bmp;12;-2;412;335;0;1;1,2,3,4,5;5;178;200;
imglib\ovavang.bmp;imglib\bladeov.bmp;hairdo\m050601.bmp;82;-19;292;268;0;1;1,2,4;6;178;200;
imglib\ovhistor.bmp;imglib\bladeov.bmp;hairdo\p094301.bmp;58;-80;352;480;0;1;1,2,3,4,5;7;178;200;
imglib\cyklass.bmp;imglib\bladecy.bmp;hairdo\k022401.bmp;15;4;401;318;0;6;1,2,3,4,5;1;186;189;
imglib\cyroman.bmp;imglib\bladecy.bmp;hairdo\l063530.bmp;40;-77;386;546;0;6;1,2,4,5;2;186;189;
imglib\cysport.bmp;imglib\bladecy.bmp;hairdo\m020801.bmp;87;-6;284;269;0;6;2,4,5;3;186;189;
imglib\cymolod.bmp;imglib\bladecy.bmp;hairdo\m044501.bmp;79;-18;304;288;0;6;1,2,4;4;186;189;
imglib\cyvamp.bmp;imglib\bladecy.bmp;hairdo\m074901.bmp;56;-17;336;266;0;6;1,2,4;5;186;189;
imglib\cyavang.bmp;imglib\bladecy.bmp;hairdo\m074701.bmp;70;-12;297;312;0;6;1,2,4;6;186;189;
imglib\cyhistor.bmp;imglib\bladecy.bmp;hairdo\l083101.bmp;85;-32;291;254;0;6;1,2,3,4,5;7;186;189;
imglib\sqklass.bmp;imglib\bladesq.bmp;hairdo\m506101.bmp;76;-29;304;264;0;5;1,2,4;1;182;168;
imglib\sqroman.bmp;imglib\bladesq.bmp;hairdo\l500601.bmp;49;-102;351;469;0;5;1,2,3,4,5;2;182;168;
imglib\sqsport.bmp;imglib\bladesq.bmp;hairdo\m051701.bmp;74;-54;297;301;0;5;1,2,3,4,5;3;182;168;
imglib\sqmolod.bmp;imglib\bladesq.bmp;hairdo\l500801.bmp;67;-10;331;460;0;5;1,2,4;4;182;168;
imglib\sqvamp.bmp;imglib\bladesq.bmp;hairdo\m074501.bmp;76;-44;297;268;0;5;1,2,4;5;182;168;
imglib\sqavang.bmp;imglib\bladesq.bmp;hairdo\m044501.bmp;72;-49;317;288;0;5;1,2,4;6;182;168;
imglib\sqhistor.bmp;imglib\bladesq.bmp;hairdo\l031101.bmp;22;-170;393;643;0;5;1,2,3,4,5;7;182;168;
imglib\trklass.bmp;imglib\bladetr.bmp;hairdo\k060101.bmp;22;-43;419;363;0;2;1,3,4,5;1;178;170;
imglib\trroman.bmp;imglib\bladetr.bmp;hairdo\m054902.bmp;-12;-43;471;490;0;2;1,2,4;2;178;170;
imglib\trsport.bmp;imglib\bladetr.bmp;hairdo\k061514.bmp;80;-24;302;306;0;2;1,2,3,4;3;178;170;
imglib\trmolod.bmp;imglib\bladetr.bmp;hairdo\k080601.bmp;-11;-51;490;448;0;2;1,2,3,4,5;4;178;170;
imglib\trvamp.bmp;imglib\bladetr.bmp;hairdo\m074901.bmp;51;-68;352;303;0;2;1,2,4;5;178;170;
imglib\travang.bmp;imglib\bladetr.bmp;hairdo\m030101.bmp;88;-18;285;248;0;2;1,2,3,4;6;178;170;
imglib\trhistor.bmp;imglib\bladetr.bmp;hairdo\l083001.bmp;70;-101;300;588;0;2;2,4;7;178;170;
