#Прическа-название;Стрижка;Укладка;Овал;Тип;Стиль;Прическа;Превью;Позиция X;Позиция Y;
Боб-карэ;N 3;N BK3;1,2,3,4,5,6;1,2,3,4;1,3,4;hairdo\bk018504.bmp;prevhair\bk018504.bmp;116;198;
Боб-карэ;N 2;N BK7 «Шанс»;1,2,4;1,2,3,4,5;1,4;hairdo\bk023101.bmp;prevhair\bk023101.bmp;147;203;
Боб-карэ;N 4;N BK4;1,2,4;1,2,4;4,6,7;hairdo\bk030601.bmp;prevhair\bk030601.bmp;140;269;
Боб-карэ;N ;N BK;1,2,4,6;1,2,4;1,3,4;hairdo\bk030701.bmp;prevhair\bk030701.bmp;122;205;
Боб-карэ;N 6;N BK5;1,2,3,4,5,6;1,2,3,4,5;4,7;hairdo\bk042202.bmp;prevhair\bk042202.bmp;118;215;
Боб-карэ;N 2;N BK9;1,2,3,4,6;1,3,4;3,4;hairdo\bk060506.bmp;prevhair\bk060506.bmp;126;227;
Боб-карэ;N 2;N BK10;1,2,3,4;1,2,3,4;1,2,4,7;hairdo\bk060708.bmp;prevhair\bk060708.bmp;111;179;
Боб-карэ;N 2;N BK11;1,2,3,4,6;1,2,3,4;3,4;hairdo\bk061009.bmp;prevhair\bk061009.bmp;125;244;
Боб-карэ;N 2;N BK13;1,2,3,4,5;1,3,4;2,4;hairdo\bk061211.bmp;prevhair\bk061211.bmp;89;186;
Боб-карэ;N 2;N BK14;1,2,3,6;1,3,4;4,6;hairdo\bk061312.bmp;prevhair\bk061312.bmp;143;196;
Боб-карэ;N 2;N BK15;1,2,3,4;1,3,4,5;1,2,4;hairdo\bk073801.bmp;prevhair\bk073801.bmp;160;244;
Боб-карэ;N 2;N BK15;1,2,3,4;1,3,4,5;1,2,4;hairdo\bk078301.bmp;prevhair\bk078301.bmp;118;213;
Карэ;N 2;N K2;1,2,3,4,5,6;1,2,3,4,5;1,2,4;hairdo\k020901.bmp;prevhair\k020901.bmp;170;198;
Карэ;N 3;N K3;1,2,3,4,5,6;1,2,3,4,5;1,2,4;hairdo\k022401.bmp;prevhair\k022401.bmp;192;206;
Карэ;N 4;N K4;1,2,3,4,5,6;1,2,3,4;1,4;hairdo\k023801.bmp;prevhair\k023801.bmp;154;193;
Карэ;N 6;N K6;1,2,3,4,5,6;1,2,3,4;1,4;hairdo\k023803.bmp;prevhair\k023803.bmp;132;203;
Карэ;N 6;N K6;1,2,3,4,5,6;1,2,3,4,5;1,2,3,4,5,6;hairdo\k024901.bmp;prevhair\k024901.bmp;187;202;
Карэ;N 9;N K9;1,2,3,4,5,6;1,2,3,4,5;1,2,3,4,5,6;hairdo\k032401.bmp;prevhair\k032401.bmp;174;220;
Карэ;N 9;N K9;1,2,3,4,5,6;1,2,3,4;1,4;hairdo\k040401.bmp;prevhair\k040401.bmp;148;203;
Карэ;N 9;N K11;1,2,3,4,5,6;1,3,4,5;1,2,4;hairdo\k060101.bmp;prevhair\k060101.bmp;181;227;
Карэ;N 9;N K13;1,2,3,4,5,6;1,2,3,4;2,3,4,6;hairdo\k061514.bmp;prevhair\k061514.bmp;121;227;
Карэ;N 9;N K14;1,3,4,5;1,3,4;4,6;hairdo\k061615.bmp;prevhair\k061615.bmp;131;195;
Карэ;N 9;N K14;1,3,4,5,6;1,3,4,5;1,2;hairdo\k071101.bmp;prevhair\k071101.bmp;190;235;
Карэ;N 9;N K14;1,2,3,4,5,6;1,2,3,4,5;1,2,4,7;hairdo\k080601.bmp;prevhair\k080601.bmp;206;248;
Карэ;N ;N K;1,2,3,4,5,6;2,3,4;1,4;hairdo\k083801.bmp;prevhair\k083801.bmp;123;219;
Карэ;N ;N K;1,2,3,4,5,6;2,4;3,4;hairdo\k086001.bmp;prevhair\k086001.bmp;91;216;
Карэ;N ;N K;5,6;3,4;2,4;hairdo\k093103.bmp;prevhair\k093103.bmp;213;259;
Карэ;N ;N K;1,3,5,6;1,2,3,4,5;1,2,4,7;hairdo\k101502.bmp;prevhair\k101502.bmp;127;312;
Карэ;N ;N K;1,2,4;1,2,3,4,5;1,2,4;hairdo\k101602.bmp;prevhair\k101602.bmp;166;254;
Карэ;N ;N K;1,3,4,6;1,2,3,4;1,3,4;hairdo\k102601.bmp;prevhair\k102601.bmp;158;234;
Карэ;N ;N K;1,2,4;1,2,3,4;1,4;hairdo\k105501.bmp;prevhair\k105501.bmp;123;195;
Карэ;N ;N K;1,2,3,4;1,2,3,4,5;1,4;hairdo\k105701.bmp;prevhair\k105701.bmp;198;227;
Карэ;N ;N K;1,2,3,4,5,6;1,2,3,4,5;1,2,4;hairdo\k505701.bmp;prevhair\k505701.bmp;185;225;
Карэ;N ;N K;1,3,4,5;2,3,4;1,2,4;hairdo\k523701.bmp;prevhair\k523701.bmp;266;213;
На длинных волосах;N 1;N L1;1,2,4;1,2,3,4,5;1,4;hairdo\l021502.bmp;prevhair\l021502.bmp;128;270;
На длинных волосах;N 1;N L2;1,2,3,4,5,6;1,2,4;1,2,4,5,7;hairdo\l025401.bmp;prevhair\l025401.bmp;175;236;
На длинных волосах;N 3;N L3;1,2,3,4,5,6;1,2,3,4,5;1,2,4,7;hairdo\l031001.bmp;prevhair\l031001.bmp;185;213;
На длинных волосах;N 4;N L4;1,2,3,4,5,6;1,2,3,4,5;1,2,7;hairdo\l031101.bmp;prevhair\l031101.bmp;161;334;
На длинных волосах;N 4;N L4;1,2,3,4,6;2,3,4;1,2,7;hairdo\l041801.bmp;prevhair\l041801.bmp;86;272;
На длинных волосах;N 4;N L6;1,2,3,4,5,6;1,2,4,5;2,4;hairdo\l063530.bmp;prevhair\l063530.bmp;146;287;
На длинных волосах;N 4;N L11;1,2,3,4,6;1,2,3,4;1,4;hairdo\l071301.bmp;prevhair\l071301.bmp;150;204;
На длинных волосах;N 4;N L11;1,3,4,5,6;1,3,4,5;1,2,4;hairdo\l072901.bmp;prevhair\l072901.bmp;226;201;
